"숨김","비건옵션","행정구역1","행정구역2","이름","업태","인스타","홈페이지","트위터","소개","주소","휠체어접근","전화번호","영업시간","","","","","","","","","","","","","","",""
"","?","서울","","포프브레드","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","서울","","플랜브이","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","서울","","플랜트","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","서울","","피봇","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","서울","","하르망","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","서울","","한과채","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","서울","","한과채","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","서울","","현미밥카페","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","울산","","그린썸","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","울산","","단지","","","","","","","","","","","","","","","","","","","","","","","",""
"","N","울산","","러빙헛 울산대점","식당","","","","","울산광역시 남구 옥현로 79 (무거동)","","052-277-4870","낮 12:00 ~ 저녁 8:00 매주 일요일 휴무","","","","","","","","","","","","","","",""
"","?","인천","","더비기닝","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","인천","","엘밭","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","전라남도","담양","소쇄원채식뷔페","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","전라남도","목포","최소 한끼","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","전라남도","순천","해즈노","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","전라북도","익산","남한산성","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","전라북도","전주","강스키친","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","전라북도","전주","라므아르","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","전라북도","전주","러빙헛 서신점","","","","","","전주시 완산구 감나무로 61-13(이마트건너편 BYC 주차장 뒷편)","","063-224-8929","12:00~15:00 (첫번째, 세번째 일요일 휴무)","","","","","","","","","","","","","","",""
"","?","전라북도","정읍","국수카페","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","제주도","","뉴자연으로","식당","","","","","제주특별자치도 서귀포시 성산읍 중산간동로 4217","","","월,화,수,목,일 11:00 ~ 19:00 금 11:00 ~ 15:00 휴무일 토요일","","","","","","","","","","","","","","",""
"","?","제주도","","도토리키친","식당","dotoree_jeju","","","제주맛집 조천맛집 도토리키친 청귤소바 전문점 2018 kbs 배틀트립 방영 맛집","","","064-782-1021","월-일 11:00-5:00 (브레이크타임X) 매주 수요일휴무","","","","","","","","","","","","","","",""
"","N","제주도","","러빙헛 제주서귀포점","식당","","","","","제주도 서귀포시 남원읍 일주동로 7036(대도로변에 위치)","","010-4696-9006","오픈 시간: 오전 11시 30분 ㅡ오후 7시 전화예약 환영 전화주시면 시간조정가능합니다.","","","","","","","","","","","","","","",""
"","?","제주도","","앤드유카페","카페","andyucafe","https://l.instagram.com/?u=http%3A%2F%2Fwww.andyucafe.net%2F&e=ATPpVbnWmUXe7lSlbwpRCnDqF4zoI-n3ceDrai6ObX7-0r_L9YozuEdE-YJ7oV4B_O4HM2Xk","","Plant-based / Vegan food & dessert / Fair trade coffee & tea","제주시 한림읍 한림로 518","","010-3250-9564","11 - 19  (L.O 18:20) (Break time 15-16:30) Closed on Tues & Wends  매주 화, 수 휴무","","","","","","","","","","","","","","",""
"","?","제주도","","잇유어그린","카페","eat.your.green","","","vegan, green smoothie, raw sweets, vegan baking","제주 서귀포시 안덕면 난드르로 17 1층","","010-7118-1444","","","","","","","","","","","","","","","",""
"","?","제주도","","작은부엌","카페, 식당","vegan_cafe_","","","","제주시 조천읍 선흘동2길 1","","010-4699-3179","","","","","","","","","","","","","","","",""
"","?","제주도","","카페901","카페, 팬션","jeju901","","","","","","","","","","","","","","","","","","","","","",""
"","?","제주도","","템플스테이푸드","","","","","","","","","","","","","","","","","","","","","","","",""
"","?","제주도","","푸른솔맑은향","뷔페, 팬션","jejuese","","","","","","","","","","","","","","","","","","","","","",""
"Y","?","제주도","","홀리데이시즌","","","","","폐업","","","","","","","","","","","","","","","","","","",""
"","?","충청남도","금산","채담","","","","","","","","","","","","","","","","","","","","","","","",""
"","N","충청북도","영동","러빙헛 영동점","식당","","","","비건식품, 비건 생활용품 판매","충북 영동군 용산면 용산로 319-1","","043-743-7597","오전 11:30 ~ 오후 8:30  매주 월요일 휴무","","","","","","","","","","","","","","",""
"","N","충청북도","청주","비건스토리 여누","베이커리","veganstory_yeonu","","","1월부터 #비건베이킹클래스 공간으로 변경되어 운영합니다💚","","","","","","","","","","","","","","","","","","",""
"","N","충청북도","청주","오프리","베이커리","ohfree5","","","다섯가지가 없는’5Free’  건강함으로 채운 비건베이커리🌱","","","","","","","","","","","","","","","","","","",""
"","N","충청북도","청주","카페 하일","카페, 베이커리","cafe.hail","","","순식물성 비건디저트🙂❣️ 달걀✖️유제품✖️흰밀가루✖️정제설탕✖️GMO✖️","","","010-3721-4181","","","","","","","","","","","","","","","",""
"","N","충청북도","충주","the vegan","베이커리","the.vegan_","","","🍞글루텐프리 비건 베이커리 🌾국내산 현미를 기본으로 좋은재료로 만드는 건강한빵 🌱 ❌ No 밀가루,우유,버터,밀가루,정제설탕,화학첨가제,색소,GMO 👨‍👩‍👧‍👦 나와 우리가족을 위한 더 나은 선택","충청북도 충주시 대가미3길9 ","","010-4143-5696","","","","","","","","","","","","","","","",""
"","?","충청북도","충주","류근모와 열명의농부","뷔페","10_farmers","","","충주 신니면 유기농 쌈 채소 전문 ""장안농장""에서 운영하는 한국형 그로서란트( Grocery + Restaurant ) 입니다. 유기농 쌈 뷔페와 유가가공식품 마켓을 선보입니다.","충청북도 충주시 신니면 용원리 120","","043-848-6262","","","","","","","","","","","","","","","",""
"","?","충청북도","충주","빛가람채식뷔페cafe","뷔페, 카페","vbitgaramceo","","","","충청북도 충주시 안림동 91-1","","043-842-3333","","","","","","","","","","","","","","","",""
"","N","충청북도","충주","어쩌다비건","베이커리","law_kitchen_2019","","","👋No우유,버터,계란,GMO ‘어쩌다비건’에서 소개하는 디저트는 유기농쌀가루, 앉은뱅이통밀기루, 유기농비정제설탕, 히말리아핑크솔트, 프리미엄현미유, 알루미늄프리bp와  국산재료를 사용하여 만듭니다","충북 충주시 연수동산로 2길  20-12","","","","","","","","","","","","","","","","","",""
